Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
Body Count,4437800,243378,"Body Count is an American metal band formed in Los Angeles in 1990. The group is fronted by Ice-T, who first established himself as a rapper but co-founded the group with lead guitarist Ernie C out of their interest in heavy metal music. Ice-T took on the role of vocalist and writing the lyrics for most of Body Count's songs, while Ernie C has been responsible for writing the group's music.

Body Count's self-titled debut album was released on Sire Records in 1992, and garnered much attention due to a controversy around the song ""Cop Killer"". <a href=""https://www.last.fm/music/Body+Count"">Read more on Last.fm</a>","Biohazard, Downset, Suicidal Tendencies, Dog Eat Dog, Powerflo"
Dopelord,1012443,62211,"Dopelord is a stoner / doom metal band from Lublin, Poland that was founded in late 2010 by musicians from Klingonian Beauty and Solarbabes. The main lyrical inspirations for their songs are classic horror movies, the occult and 'magical herbs'.

http://dopelord.bandcamp.com <a href=""https://www.last.fm/music/Dopelord"">Read more on Last.fm</a>","Monolord, Windhand, Belzebong, Pale Keeper, Toke"
Noisecide,33191,5332,"Noisecide, founded in August 2011 by Legna Zenemig and Sophia Orrego, former members of A Few Memories. Together they started to compose songs just to have fun with a totally open mindedness experimenting with new music genres adding to their alternative trend influences some new elements to keep it fresh. They already have finished a new and debut album called ""The Electrical"" that will be out soon. <a href=""https://www.last.fm/music/noisecide"">Read more on Last.fm</a>","4Th Point, The Game Shop, Ksenia Lewis, Normundy, Entail of Crow"
Allen/Olzon,106334,8061," <a href=""https://www.last.fm/music/Allen%2FOlzon"">Read more on Last.fm</a>","The Dark Element, Beyond the Black, Anette Olzon, Dark Sarah, Ad Infinitum"
InVisions,593927,40929,"InVisions is a Melodic Metalcore/Post-Hardcore band from York - North Yorkshire, UK. Started back in January 2016, when Ben Ville (vocals) approached Lucas Gabb (guitars) about starting a new project after the demise of their previous bands, then recruited Alex Scott (guitars) and booked a studio session for their debut single within a week. Drummer Josh Hardy soon joined after an introduction from the band’s producers Sam and Joe Graves from Innersound Studios. <a href=""https://www.last.fm/music/Invisions"">Read more on Last.fm</a>",
Pain of Truth,1202767,40309,"1) Beatdown band from Long Island, NY.

Members: Chris Rini, Michael Smith , Nik Hansen, Ridge Rhine, Zach Stachura

2) German thrash metal band. <a href=""https://www.last.fm/music/Pain+of+Truth"">Read more on Last.fm</a>","Never Ending Game, Gridiron, XweaponX, Mindforce, Trapped Under Ice"
Addicted to Anaesthesia,59174,11410," <a href=""https://www.last.fm/music/Addicted+to+Anaesthesia"">Read more on Last.fm</a>","Kvävning, Hopeless, Beyond Melancholy, Angel Of Suicide, My Useless Life"
AILIFDOPA,40617,4045," <a href=""https://www.last.fm/music/AILIFDOPA"">Read more on Last.fm</a>","Ailiph Doepa, Azami, Hysteric Panic, Telecide, THE OHAYOGOZAIMAS"
Like Moths To Flames,7136531,183733,"Like Moths to Flames is a metalcore band from Dayton, Ohio, United States, that formed in 2010. The band started when vocalist Chris Roetter, former frontman of Agraceful, had many issues concerning members dropping out. Like Moths to Flames was formed with four previous members of Terrafirma. They have five EPs and six full-length albums, the most recent being The Cycles of Trying to Cope which was released on May 10th, 2024 through UNFD.

On October 17 <a href=""https://www.last.fm/music/Like+Moths+to+Flames"">Read more on Last.fm</a>","Hollow Front, Invent Animate, Alpha Wolf, ERRA, Currents"
Faith No More,58390628,1589373,"Faith No More are an American alternative metal band from San Francisco, California, formed in 1979. Before settling on the current name in July 1983, the band performed under the names Sharp Young Men and later Faith No Man. Bassist Billy Gould, keyboardist/rhythm guitarist Roddy Bottum and drummer Mike Bordin are the longest-remaining members of the band, having been involved since its inception. The band underwent several early lineup changes, and some major changes later. <a href=""https://www.last.fm/music/Faith+No+More"">Read more on Last.fm</a>","Mr. Bungle, Tomahawk, Mike Patton, Peeping Tom, Primus"
Converge,41905338,543774,"Converge is a four-piece American band, formed in February of 1990 in Salem, Massachusetts, United States. Playing a blend of hardcore punk and extreme metal, this pioneer outfit helped define a lot of the rudiments of the fast-burgeoning metalcore and mathcore genres formed by vocalist Jacob Bannon and guitarist Kurt Ballou in Salem, Massachusetts in 1990. During the recording of their seminal fourth album Jane Doe, the group became a four-piece <a href=""https://www.last.fm/music/Converge"">Read more on Last.fm</a>","Botch, The Dillinger Escape Plan, Gaza, The Chariot, Nails"
The Black Dahlia Murder,26769457,431163,"The Black Dahlia Murder is an American melodic death metal band from Waterford, Michigan, formed in 2001. Their name is derived from the 1947 unsolved murder of Elizabeth Short, often referred to as Black Dahlia. Currently, the band consists of lead vocalist Brian Eschbach, bassist Max Lavelle, drummer Alan Cassidy, and guitarists Brandon Ellis and Ryan Knight. The Black Dahlia Murder has undergone various lineup changes, with Trevor Strnad and Eschbach remaining the only constant members <a href=""https://www.last.fm/music/The+Black+Dahlia+Murder"">Read more on Last.fm</a>","Job for a Cowboy, All Shall Perish, Inferi, As Blood Runs Black, Carnifex"
Invent Animate,6608395,88258,"Hometown: Port Neches, TX
Genre: Progressive Metalcore / Djent
http://www.facebook.com/inventanimate
Members: 
Trey Celaya - Drums
Marcus Vik - Vocals
Keaton Goldwire - Guitar
Caleb Sherraden - Bass

Bursting out the scene from Port Neches, Texas comes Invent Animate. A 5 piece metalcore band simply doing what they love. With a different style than most metalcore bands, Invent Animate is bringing a fresh new sound to the scene. Come on out and support! <a href=""https://www.last.fm/music/Invent+Animate"">Read more on Last.fm</a>","Silent Planet, Currents, ERRA, Thornhill, Northlane"
Oranssi Pazuzu,3135377,101916,"Oranssi Pazuzu is a Finnish psychedelic black metal band formed in 2007. The band consists of Juho ""Jun-His"" Vanhanen (vocals, guitar), Korjak (drums), Moit (guitar), Evil (keyboards, percussion) and Ontto (bass guitar). The band takes its name from ""oranssi"", the Finnish word for ""orange"" and Pazuzu, a wind demon from Babylonian mythology.

The band recorded their debut album, Muukalainen Puhuu in 2008 in Korjak's family cabin. It was released via Violent Journey Records in 2009 and followed in 2010 by a split LP with Candy Cane. <a href=""https://www.last.fm/music/Oranssi+Pazuzu"">Read more on Last.fm</a>","Waste of Space Orchestra, Hail Spirit Noir, Aluk Todolo, Imperial Triumphant, Deathspell Omega"
Gutrectomy,384343,35337,"Gutrectomy, hailing from the dark depths of the Black Forest in Germany, was forged in the crucible of brutality back in 2011. Their music is a relentless amalgamation of Slam Death Metal, Deathcore, and Beatdown/Hardcore, a unique fusion that sets them apart in the metal scene.

Official Website
Official Merchandise
Official Bandcamp
Facebook
Instagram <a href=""https://www.last.fm/music/Gutrectomy"">Read more on Last.fm</a>","Acranius, Facelift Deformation, Acrania, Chainsaw Castration, Organectomy"
A Light In The Dark,415400,24738,"A Light In The Dark is a melancholic/atmospheric post-metal project, contains elements of various genres like depressive rock, black metal, shoegaze, trance (early) and others. Was formed by B.M. (Skyforest, Blurry Lights, Hiki), the only member, in Podolsk, Russian Federation in March 2012 as a side-project. The concept/lyrical themes are inspired by modern urban life and loneliness.

The first EP ""Disharmony"" was self-released in April 2012.

Later debut album ""From One Day To Another"" was released in May 2012. <a href=""https://www.last.fm/music/A+Light+In+The+Dark"">Read more on Last.fm</a>",
Black Curse,429215,30620,"Formed in 2015, BLACK CURSE is the focused will of death-obsessed fanatics. Physically residing in Denver, Colorado, the band is comprised of various members of other cults responsible for the outside attention the city has gained in recent years.
BLACK CURSE has grown slowly over the years, changing form several times. The band has a meticulous writing process, wrought with intention and focus, that demands reflection. With this in mind they chose to let the material take shape over years of creative effort <a href=""https://www.last.fm/music/Black+Curse"">Read more on Last.fm</a>","Concrete Winds, Antichrist Siege Machine, Spectral Voice, Mitochondrion, Teitanblood"
Dope Smoker,286058,27195,"Dope Smoker are a 3 piece rock group from South West Wales where everyone smokes dope & surfs. <a href=""https://www.last.fm/music/Dope+Smoker"">Read more on Last.fm</a>","Toke, Mephistofeles, Dopelord, Bongripper, Bongzilla"
Allt,1041908,36585,"Allt is everything. <a href=""https://www.last.fm/music/Allt"">Read more on Last.fm</a>","Invent Animate, Silent Planet, Void of Vision, Aviana, Thrown"
Scour,210020,18347,"1) Scour is a black/death metal band  featuring Phil Anselmo (Down, Superjoint Ritual, Pantera, etc) and members of  Misery Index, Pig Destroyer, Cattle Decapitation. Animosity and Strong Intention.

2) Scour is a solo noise / electronic / drone project of Felix Skinner, currently a member of Wreck & Reference. <a href=""https://www.last.fm/music/Scour"">Read more on Last.fm</a>","Behemoth, Werewolves, Hate, Benighted, Belphegor"
Shrezzers,1054451,42744,"Shrezzers is a post-hardcore/progressive metal supergroup formed in Saint Petersburg, Russia in 2016.

Initially named Shredding Brazzers, the band had to change its name to Shrezzers in 2017 due to copyright issues.

Current Members:
Vyacheslav Kavlenas - Guitar (ex-WILDWAYS, ex-Fail Emotions, Change of Loyalty, At the Ruins)
Mark Mironov - Drums / Harsh vocals (ex-Betraying the Martyrs, My Autumn)
Diego Silva - Clean vocals (As We Survive)
Vitaly Molokanov - Guitar (Change of Loyalty) <a href=""https://www.last.fm/music/Shrezzers"">Read more on Last.fm</a>","Abyss, Watching Me, Sergey Golovin, Phrenia, Novelists FR, Fail Emotions"
Evereal,17578,4267," <a href=""https://www.last.fm/music/Evereal"">Read more on Last.fm</a>","Fourth Circle, MoonSun, Torn Between Two Worlds, Lindsay Schoolcraft, Sins in Vain"
Versus Me,588797,51526,"American metalcore band from Janesville, WI that formed in 2013.

Every generation has its stars that audiences can point to as meaningful people who rise above the noise of empty promises, passing trends and inflated egos. The most important, vital and uplifting songs are the ones that connect with listeners on a level that’s deeper than a catchy melody, a pulverizing breakdown or a memorable groove. Only a handful of musicians are able to come <a href=""https://www.last.fm/music/Versus+Me"">Read more on Last.fm</a>","Villain of the Story, Until i Wake, Savage Hands, Phrenia, Our Promise"
MËSTIZA,43796,5219," <a href=""https://www.last.fm/music/M%C3%8BSTIZA"">Read more on Last.fm</a>","The Gardener, Israel Fernández, BRONQUIO, Lachispa, ELYELLA"
Sohodolls,7109520,577508,"The majesty of rock, the mystery of roll, all underpinned by ferocious beats. Sohodolls are not afraid to bring in various musical styles – glam rock, punk, hip-hop and big band swing - put them through their mincer and put out twisted dark pop songs. 

Singer and founder of the band Maya Von Doll, 'a female Iggy Pop', started the band a couple of years ago and brought in co-conspirator Toni Sailor who has been described by the NME as 'a more sinister Jimmy Page'. <a href=""https://www.last.fm/music/Sohodolls"">Read more on Last.fm</a>","Night Club, Marie Madeleine, Princess Chelsea, Alice in Videoland, Reyko"
